品牌/系列	型号	CPU/芯片	CPU速度	操作系统	RAM	刷新率	主摄像头	分辨率	屏幕尺寸	颜色	网络	重量	尺寸 (长 x 宽 x 高)	存储容量	版本类型	颜色库存	保修期	配件	交付时间	5G频段	防水等级	电池容量	存储扩展	国际保修	美国价格
Apple iPhone 系列	iPhone 16	Apple A18 (3nm)	4.04 GHz	iOS 18	8GB	60Hz	48MP	2556×1179	6.1英寸 Super Retina XDR OLED	黑色、白色、粉色、青色、超海蓝色	5G, 4G LTE	6.00 oz (170.0 g)	5.81 in × 2.82 in × 0.31 in (147.6 mm × 71.6 mm × 7.8 mm)	128GB/256GB/512GB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	3582mAh	不支持	国际保修	$699/$780/$980
Apple iPhone 系列	iPhone 16 Plus	Apple A18 (3nm)	4.04 GHz	iOS 18	8GB	60Hz	48MP	2796×1290	6.7英寸 Super Retina XDR OLED	黑色、白色、粉色、青色、超海蓝色	5G, 4G LTE	7.03 oz (199.0 g)	6.33 in × 3.06 in × 0.31 in (160.9 mm × 77.8 mm × 7.8 mm)	128GB/256GB/512GB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	4685mAh	不支持	国际保修	$799/$899/$1,099
Apple iPhone 系列	iPhone 16 Pro	Apple A18 Pro (3nm)	4.04 GHz	iOS 18	12GB	120Hz	48MP+48MP+12MP	2622×1206	6.3英寸 Super Retina XDR OLED ProMotion	黑钛、白钛、自然钛、沙漠钛	5G, 4G LTE	7.03 oz (199.0 g)	5.89 in × 2.81 in × 0.32 in (149.6 mm × 71.5 mm × 8.25 mm)	128GB/256GB/512GB/1TB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	3582mAh	不支持	国际保修	$999/$1,099/$1,299/$1,499
Apple iPhone 系列	iPhone 16 Pro Max	Apple A18 Pro (3nm)	4.04 GHz	iOS 18	12GB	120Hz	48MP+48MP+12MP	2868×1320	6.9英寸 Super Retina XDR OLED ProMotion	黑钛、白钛、自然钛、沙漠钛	5G, 4G LTE	8.00 oz (227.0 g)	6.42 in × 3.06 in × 0.32 in (163.0 mm × 77.6 mm × 8.25 mm)	256GB/512GB/1TB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	4685mAh	不支持	国际保修	$1,199/$1,399/$1,599
Apple iPhone 系列	iPhone 17	Apple A19 (3nm)	4.26 GHz	iOS 26	8GB	120Hz	48MP+12MP	2622×1206	6.3英寸 Super Retina XDR OLED ProMotion	薰衣草、鼠尾草、雾蓝、白色、黑色	5G, 4G LTE	6.14 oz (174.0 g)	5.85 in × 2.80 in × 0.29 in (148.5 mm × 71.2 mm × 7.4 mm)	256GB/512GB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	3600mAh	不支持	国际保修	$799/$999
Apple iPhone 系列	iPhone Air	Apple A19 Pro (3nm)	4.26 GHz	iOS 26	12GB	120Hz	48MP+18MP	2556×1179	6.7英寸 OLED ProMotion	天蓝、淡金、云白、太空黑	5G, 4G LTE	5.47 oz (155.0 g)	6.30 in × 3.00 in × 0.22 in (159.9 mm × 76.1 mm × 5.6 mm)	256GB/512GB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	4700mAh	不支持	国际保修	$999/$1,099
Apple iPhone 系列	iPhone 17 Pro	Apple A19 Pro (3nm)	4.26 GHz	iOS 26	12GB	120Hz	48MP+48MP+12MP	2622×1206	6.3英寸 Super Retina XDR OLED ProMotion	银色、深蓝色、宇宙橙	5G, 4G LTE	7.16 oz (203.0 g)	5.90 in × 2.82 in × 0.32 in (149.9 mm × 71.6 mm × 8.1 mm)	256GB/512GB/1TB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	3600mAh	不支持	国际保修	$1,099/$1,299/$1,499
Apple iPhone 系列	iPhone 17 Pro Max	Apple A19 Pro (3nm)	4.26 GHz	iOS 26	12GB	120Hz	48MP+48MP+12MP	2868×1320	6.9英寸 Super Retina XDR OLED ProMotion	银色、深蓝色、宇宙橙	5G, 4G LTE	8.00 oz (227.0 g)	6.42 in × 3.06 in × 0.32 in (163.0 mm × 77.6 mm × 8.25 mm)	256GB/512GB/1TB/2TB	解锁版	有货	1年保修	USB-C线	现货发货	Sub-6/mmWave	IP68	4700mAh	不支持	国际保修	$1,199/$1,399/$1,599/$2,000
Samsung Galaxy S 系列	Galaxy S24	Snapdragon 8 Gen 3 for Galaxy / Exynos 2400	3.39 GHz	Android 14	8GB	120Hz	50MP	2340×1080	6.2英寸 Dynamic AMOLED 2X	琥珀黄、大理石灰、钴紫、缟玛瑙黑 (+定制色)	5G, 4G LTE	5.89 oz (167.0 g)	5.79 in × 2.78 in × 0.30 in (147.0 mm × 70.6 mm × 7.6 mm)	128GB/256GB	解锁版/运营商版	有货	1年保修	USB-C线+充电器	现货/3-5天	Sub-6/mmWave	IP68	4000mAh	microSD	国际保修	$799/$859
Samsung Galaxy S 系列	Galaxy S24 Plus	Snapdragon 8 Gen 3 for Galaxy / Exynos 2400	3.39 GHz	Android 14	12GB	120Hz	50MP	2992×1344	6.7英寸 Dynamic AMOLED 2X	琥珀黄、大理石灰、钴紫、缟玛瑙黑	5G, 4G LTE	6.91 oz (196.0 g)	6.24 in × 2.99 in × 0.30 in (158.5 mm × 75.9 mm × 7.7 mm)	256GB/512GB	解锁版/运营商版	有货	1年保修	USB-C线+充电器	现货/3-5天	Sub-6/mmWave	IP68	4900mAh	microSD	国际保修	$999/$1,119
