Brand/Series	Model	CPU/Chip	CPU Speed	Operating System	RAM	Refresh Rate	Main Camera	Resolution	Screen Size	Color	Network	Weight	Dimensions (L x W x H)	Storage Capacity	Version Type	Color Stock	Warranty	Accessories	Delivery Time	5G Band	Waterproof Grade	Battery Capacity	Storage Expansion	International Warranty	US Price
Apple iPhone Series	iPhone 16	Apple A18 (3nm)	4.04 GHz	iOS 18	8GB	60Hz	48MP	2556×1179	6.1" Super Retina XDR OLED	Black, White, Pink, Cyan, Deep Blue	5G, 4G LTE	6.00 oz (170.0 g)	5.81 × 2.82 × 0.31 in	128GB/256GB/512GB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	3582mAh	Not Supported	International	$699/$780/$980
Apple iPhone Series	iPhone 16 Plus	Apple A18 (3nm)	4.04 GHz	iOS 18	8GB	60Hz	48MP	2796×1290	6.7" Super Retina XDR OLED	Black, White, Pink, Cyan, Deep Blue	5G, 4G LTE	7.03 oz (199.0 g)	6.33 × 3.06 × 0.31 in	128GB/256GB/512GB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	4685mAh	Not Supported	International	$799/$899/$1,099
Apple iPhone Series	iPhone 16 Pro	Apple A18 Pro (3nm)	4.04 GHz	iOS 18	12GB	120Hz	48MP+48MP+12MP	2622×1206	6.3" Super Retina XDR OLED ProMotion	Black Titanium, White Titanium, Natural Titanium, Desert Titanium	5G, 4G LTE	7.03 oz (199.0 g)	5.89 × 2.81 × 0.32 in	128GB/256GB/512GB/1TB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	3582mAh	Not Supported	International	$999/$1,099/$1,299/$1,499
Apple iPhone Series	iPhone 16 Pro Max	Apple A18 Pro (3nm)	4.04 GHz	iOS 18	12GB	120Hz	48MP+48MP+12MP	2868×1320	6.9" Super Retina XDR OLED ProMotion	Black Titanium, White Titanium, Natural Titanium, Desert Titanium	5G, 4G LTE	8.00 oz (227.0 g)	6.42 × 3.06 × 0.32 in	256GB/512GB/1TB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	4685mAh	Not Supported	International	$1,199/$1,399/$1,599
Apple iPhone Series	iPhone 17	Apple A19 (3nm)	4.26 GHz	iOS 26	8GB	120Hz	48MP+12MP	2622×1206	6.3" Super Retina XDR OLED ProMotion	Lavender, Sage, Fog Blue, White, Black	5G, 4G LTE	6.14 oz (174.0 g)	5.85 × 2.80 × 0.29 in	256GB/512GB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	3600mAh	Not Supported	International	$799/$999
Apple iPhone Series	iPhone Air	Apple A19 Pro (3nm)	4.26 GHz	iOS 26	12GB	120Hz	48MP+18MP	2556×1179	6.7" OLED ProMotion	Sky Blue, Light Gold, Cloud White, Space Black	5G, 4G LTE	5.47 oz (155.0 g)	6.30 × 3.00 × 0.22 in	256GB/512GB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	4700mAh	Not Supported	International	$999/$1,099
Apple iPhone Series	iPhone 17 Pro	Apple A19 Pro (3nm)	4.26 GHz	iOS 26	12GB	120Hz	48MP+48MP+12MP	2622×1206	6.3" Super Retina XDR OLED ProMotion	Silver, Deep Blue, Cosmic Orange	5G, 4G LTE	7.16 oz (203.0 g)	5.90 × 2.82 × 0.32 in	256GB/512GB/1TB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	3600mAh	Not Supported	International	$1,099/$1,299/$1,499
Apple iPhone Series	iPhone 17 Pro Max	Apple A19 Pro (3nm)	4.26 GHz	iOS 26	12GB	120Hz	48MP+48MP+12MP	2868×1320	6.9" Super Retina XDR OLED ProMotion	Silver, Deep Blue, Cosmic Orange	5G, 4G LTE	8.00 oz (227.0 g)	6.42 × 3.06 × 0.32 in	256GB/512GB/1TB/2TB	Unlocked	In Stock	1 Year	USB-C Cable	In Stock	Sub-6/mmWave	IP68	4700mAh	Not Supported	International	$1,199/$1,399/$1,599/$2,000
Samsung Galaxy S Series	Galaxy S24	Snapdragon 8 Gen 3 for Galaxy / Exynos 2400	3.39 GHz	Android 14	8GB	120Hz	50MP	2340×1080	6.2" Dynamic AMOLED 2X	Amber Yellow, Marble Gray, Cobalt Purple, Onyx Black (+Custom)	5G, 4G LTE	5.89 oz (167.0 g)	5.79 × 2.78 × 0.30 in	128GB/256GB	Unlocked/Carrier	In Stock	1 Year	USB-C Cable + Charger	In Stock/3-5 Days	Sub-6/mmWave	IP68	4000mAh	microSD	International	$799/$859
Samsung Galaxy S Series	Galaxy S24 Plus	Snapdragon 8 Gen 3 for Galaxy / Exynos 2400	3.39 GHz	Android 14	12GB	120Hz	50MP	2992×1344	6.7" Dynamic AMOLED 2X	Amber Yellow, Marble Gray, Cobalt Purple, Onyx Black	5G, 4G LTE	6.91 oz (196.0 g)	6.24 × 2.99 × 0.30 in	256GB/512GB	Unlocked/Carrier	In Stock	1 Year	USB-C Cable + Charger	In Stock/3-5 Days	Sub-6/mmWave	IP68	4900mAh	microSD	International	$999/$1,119
